ID,type,Country,Stage name,Length,Surface,Ch,OR,,Average Rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,United Kingdom,Sweet Lamb 2,5.2,gravel,,,,3.27,,2,,3,2,,3,4,3,4,,,5,5,2,3,2,3,4,3,,3,,,4,3,3,4,3,4,,2,4,5,4,3,3,4,3,,,,,,,,3,2,3,,,,,
122,,Germany,Bruchsal Unteröwisheim,8.4,tarmac,,,,3.46,,5,,3,3,4,4,3,1,4,,3,3,,3,4,5,4,4,5,,5,5,,4,4,4,2,2,,4,3,3,4,4,3,3,4,2,,,,,,3,,3,1,,,,,,
123,,Czech Republic,Rally School Czech,3,tarmac,,,,2.83,,2,,3,5,3,3,3,4,3,,,2,,3,4,3,3,3,2,,4,,,3,3,3,3,2,,,,3,3,1,3,2,,2,,,,,,1,,,3,,,,,,
124,,Finland,Humalamaki 2,4.6,gravel,,,,3.00,,3,,3,3,2,3,3,4,3,0,,3,,2,3,2,,5,4,,,,,3,3,3,4,4,3,,,3,3,2,3,3,,3,,,,,,,,,,4,,,,,
125,,USA,Sardian,5.1,tarmac,,,,2.56,,2,,3,1,2,3,2,2,1,5,3,1,,3,5,2,2,4,2,,,,,4,2,3,1,2,,3,2,4,3,3,3,2,,1,,,,,,2,,,4,,,,,,
126,,USA,Sardian Night,5.1,tarmac,,,,2.55,,2,,3,1,2,3,2,1,1,5,3,1,,3,5,2,2,4,2,,,5,,3,2,3,1,1,,3,2,4,3,3,3,2,3,1,,,,,,,,,,3,,,,,
127,,United Kingdom,Loch Ard,8.4,gravel,,,,4.23,,5,,4,5,4,4,4,4,3,,5,5,5,4,2,3,5,5,4,5,4,,,5,4,4,4,5,,3,3,4,5,5,5,4,,3,,,,,5,,,4,,5,,,,,
128,,United Kingdom,Loch Ard 2,8.4,gravel,,,,4.21,,5,,4,5,4,4,4,4,3,,5,5,5,4,3,3,5,5,4,5,4,,,5,4,4,4,5,,3,3,4,5,5,5,4,,3,,,,,,,,4,,4,,,,,
129,,France,Peyregrosse Mandagout,12.8,tarmac,,,,4.50,,4,,4,5,5,5,5,5,3,,4,4,,5,5,4,5,5,4,,5,,,5,5,4,5,4,5,3,4,3,5,5,4,5,5,5,,,,,5,5,,4,,4,,,,,
130,,Lithuania,Versme RallyCross,3.3,gravel,,,,3.21,,4,,3,3,,3,3,2,3,,3,5,,4,4,3,3,4,3,,,,,,3,4,4,3,,,3,4,3,3,2,3,,3,,,,,,,,3,,2,,,,,
131,,Slovakia,Peklo,8.4,tarmac,,,,4.06,,3,,4,5,4,5,4,4,3,,4,3,,4,4,5,4,5,4,,5,,,5,3,4,5,3,4,4,3,3,5,5,4,3,5,4,,,,,4,,,3,5,,,,,,
132,,Slovakia,Peklo R,8.4,tarmac,,,,4.03,,3,,4,5,4,5,4,5,3,,4,3,,4,4,4,4,5,4,,5,,,5,3,4,5,3,4,4,3,3,5,4,4,3,5,4,,,,,4,,,3,5,,,,,,
133,,Slovakia,Peklo Snow,8.4,snow,,,,3.56,,3,,4,3,4,4,3,4,3,,,3,,4,3,,3,4,3,,,,,5,3,3,5,3,,4,3,3,5,4,4,3,,3,,,,,,,,,,,,,,,
134,,Slovakia,Peklo Snow R,8.4,snow,,,,3.50,,3,,4,3,4,4,3,4,3,,,3,,4,3,,3,4,3,,,,,5,3,3,5,3,,4,3,3,5,3,4,3,,3,,,,,,,,,,3,,,,,
135,,Slovakia,Mlynky,7,tarmac,,,,3.00,,2,,3,3,3,4,3,4,2,,,3,,1,4,3,2,5,4,,4,,,4,3,4,2,2,,3,2,3,2,4,3,3,4,3,,0,,,,4,,2,4,3,,,,,
136,,Slovakia,Mlynky Snow,7,snow,,,,2.84,,3,,3,3,3,3,3,4,1,,,3,,1,4,,2,5,4,,4,,,4,3,3,2,2,,3,2,3,2,3,4,3,,3,,0,,,,,,1,4,3,,,,,
137,,United Kingdom,Sweet Lamb,5.1,gravel,,,,3.51,,3,,3,3,,3,4,4,4,,,5,5,2,3,2,3,4,3,5,4,,,4,4,3,4,4,4,3,3,4,5,5,3,3,4,3,,,,,3,2,,3,3,3,,,,,
138,,Ireland,RSI 1,1.5,tarmac,,,,1.81,,1,,1,2,,2,2,1,2,,,1,,,5,1,3,2,1,,2,,,3,2,3,2,1,,,,3,2,0,1,2,,1,,,,,,,,,,1,,,,,
139,,Ireland,RSI 2,1,tarmac,,,,1.69,,1,,1,2,,2,2,1,2,,,1,,,4,0,3,2,1,,2,,,3,2,3,2,1,,,,2,2,0,1,2,,1,,,,,,,,,,1,,,,,
140,,Ireland,RSI 3,1.8,tarmac,,,,1.88,,1,,1,2,,3,2,1,2,,,1,,,5,1,3,2,1,,2,,,4,2,3,2,1,,,,3,2,0,1,2,,1,,,,,,,,,,1,,,,,
141,,United Kingdom,ROC 2008,1.9,tarmac,,,,2.74,,3,,2,5,3,3,3,2,2,,4,2,,3,5,2,,2,1,,,,,3,3,3,2,3,,3,2,3,2,3,3,2,3,2,,,,,,,,,4,2,,,,,
142,,Netherlands,PTD RallySprint,5.1,gravel,,,,3.41,,3,,4,2,4,4,4,3,4,,4,4,,4,4,4,,3,4,,4,,,5,3,4,1,5,,2,2,4,4,2,3,2,4,3,,,,,,,,4,,2,,,,,
143,,Portugal,Portugal SS18 2007,2.4,tarmac,,,,2.22,,2,,2,5,,2,2,2,,,3,0,,2,5,2,,2,3,,,,,,,,1,1,,3,,3,2,3,1,2,2,1,,,,,,,,,,,,,,,
144,,Slovakia,Mlynky Snow R,7.1,snow,,,,2.72,,3,,3,3,3,3,3,3,1,,,3,,1,4,3,,4,4,,,,,4,3,3,2,2,,3,3,3,2,3,,3,,3,,0,,,,,,1,,3,,,,,
145,,Slovenia,Sorica,15,tarmac,,,,4.37,,4,,5,4,4,5,5,5,4,5,5,2,,5,3,5,5,5,4,4,5,,,4,5,4,5,4,5,4,4,4,5,4,5,3,4,3,,,,,5,5,,5,4.5,4,,,,,
146,,Japan,Shomaru Pass,5.8,tarmac,,,,3.42,,2,,2,4,4,4,5,4,3,,,1,,2,4,5,,,4,,3,,,2,2,3,4,3,2,2,3,4,4,5,5,3,4,4,,,,,5,,,4,4,3,,,,,
147,,Japan,Shomaru Pass II,5.8,tarmac,,,,3.42,,2,,2,4,4,4,4,4,3,,,1,,2,4,5,,,4,,3,,,2,2,3,4,3,3,2,3,4,4,5,5,3,,4,,,,,5,,,4,4,,,,,,
149,,Czech Republic,Pribram,9.1,tarmac,,,,3.88,,4,,4,3,4,4,4,3,3,5,,4,,5,4,3,3,4,4,4,4,,,5,4,4,4,3,4,,4,4,5,5,4,3,,3,,,,,,4,,4,,3,,,,,
